AreaCode,Year,OwnerPct,RentalPct,SubsidizedPct
091520,2023,10.0,61.7,0.0
091520,2024,9.4,63.1,0.0
091531,2015,,,
091531,2016,,,
091531,2017,,,
091531,2018,,,
091531,2019,,,
091531,2020,,,
091531,2021,,,
091531,2022,,,
091531,2023,,,
091531,2024,,,
091103,2015,35.4,47.5,1.0
091103,2016,35.0,48.0,1.0
091103,2017,34.8,49.2,1.4
091103,2018,34.7,50.3,1.4
091103,2019,35.3,51.1,1.4
091103,2020,36.5,52.0,1.4
091103,2021,35.3,52.2,1.5
091103,2022,34.7,53.0,1.8
091103,2023,35.0,52.6,2.3
091103,2024,35.1,51.6,2.4
09140,2015,35.6,44.0,0.0
09140,2016,35.3,44.3,0.0
09140,2017,35.7,45.1,0.0
09140,2018,35.8,45.3,0.0
09140,2019,36.7,46.0,0.0
09140,2020,38.3,47.3,0.0
09140,2021,37.2,48.5,0.0
09140,2022,36.8,48.3,0.0
09140,2023,36.6,47.8,0.0
09140,2024,37.1,46.8,0.0
091130,2015,39.9,42.6,0.0
091130,2016,40.0,42.5,0.0
091130,2017,40.4,43.1,0.0
091130,2018,40.3,43.7,0.0
091130,2019,41.7,44.5,0.0
091130,2020,43.2,44.4,0.0
091130,2021,42.4,43.4,0.0
091130,2022,41.9,45.5,0.0
091130,2023,42.9,45.8,0.0
091130,2024,43.6,44.2,0.0
091201,2015,23.5,72.0,0.0
091201,2016,23.3,71.3,0.0
091201,2017,23.5,68.5,0.0
091201,2018,23.1,73.6,0.0
091201,2019,22.8,71.0,0.0
091201,2020,24.1,72.2,0.0
091201,2021,23.3,71.5,0.0
091201,2022,23.3,70.2,0.0
091201,2023,23.6,71.0,0.0
091201,2024,23.9,68.7,0.0
091202,2015,,,
091202,2016,,,
091202,2017,,,
091202,2018,,,
091202,2019,,,
091202,2020,,,
091202,2021,,,
091202,2022,,,
091202,2023,,,
091202,2024,0.0,87.5,0.0
091203,2015,27.6,59.8,7.3
091203,2016,26.8,60.0,5.9
091203,2017,26.3,62.2,7.1
091203,2018,26.4,63.2,6.5
091203,2019,26.9,63.2,5.9
091203,2020,28.0,63.8,5.2
091203,2021,27.0,63.1,5.3
091203,2022,26.1,63.7,6.1
091203,2023,26.5,61.8,7.8
091203,2024,25.8,61.2,7.7
091104,2015,40.6,44.1,0.0
091104,2016,40.6,44.5,0.0
091104,2017,40.3,44.9,0.0
091104,2018,40.3,45.4,0.0
091104,2019,41.4,46.2,0.0
091104,2020,43.1,45.3,0.0
091104,2021,41.7,45.7,0.0
091104,2022,41.6,44.8,0.0
091104,2023,41.7,45.7,0.0
091104,2024,42.3,44.6,0.0
091140,2015,40.6,44.1,0.0
091140,2016,40.6,44.5,0.0
091140,2017,40.3,44.9,0.0
091140,2018,40.3,45.4,0.0
091140,2019,41.4,46.2,0.0
091140,2020,43.1,45.3,0.0
091140,2021,41.7,45.7,0.0
091140,2022,41.6,44.8,0.0
091140,2023,41.7,45.7,0.0
091140,2024,42.3,44.6,0.0
091105,2015,54.3,34.3,0.0
091105,2016,54.2,34.4,0.0
091105,2017,54.0,35.4,0.0
091105,2018,54.5,35.7,0.0
091105,2019,54.5,35.4,0.0
091105,2020,56.6,34.7,0.0
091105,2021,56.2,34.7,0.0
091105,2022,55.2,35.7,0.0
091105,2023,55.1,35.6,0.0
091105,2024,55.7,35.4,0.0
091310,2015,,,
091310,2016,,,
091310,2017,,,
091310,2018,,,
091310,2019,,,
091310,2020,,,
091310,2021,,,
091310,2022,,,
091310,2023,,,
091310,2024,,,
091311,2015,49.7,38.8,0.0
091311,2016,49.6,38.6,0.0
091311,2017,50.0,39.5,0.0
091311,2018,50.5,39.7,0.0
091311,2019,50.3,39.9,0.0
091311,2020,51.8,39.9,0.0
091311,2021,50.5,40.7,0.0
091311,2022,49.7,41.7,0.0
091311,2023,49.2,40.6,0.0
091311,2024,50.5,40.8,0.0
091312,2015,62.4,27.1,0.0
091312,2016,62.4,27.5,0.0
091312,2017,60.9,30.2,0.0
091312,2018,61.5,30.2,0.0
091312,2019,60.5,29.5,0.0
091312,2020,63.0,28.8,0.0
091312,2021,63.0,28.1,0.0
091312,2022,61.4,29.2,0.0
091312,2023,61.6,29.9,0.0
091312,2024,61.4,29.9,0.0
091313,2015,51.5,36.3,0.0
091313,2016,51.0,37.0,0.0
091313,2017,51.2,36.2,0.0
091313,2018,51.5,36.9,0.0
091313,2019,52.8,36.8,0.0
091313,2020,55.2,35.3,0.0
091313,2021,55.2,35.1,0.0
091313,2022,54.8,35.9,0.0
091313,2023,54.8,35.9,0.0
091313,2024,55.4,35.2,0.0
091314,2015,,,
091314,2016,,,
091314,2017,,,
091314,2018,,,
091314,2019,,,
091314,2020,,,
091314,2021,,,
091314,2022,,,
091314,2023,,,
091314,2024,,,
0912,2015,41.4,49.2,1.5
0912,2016,41.0,49.4,1.5
0912,2017,40.8,49.8,1.7
0912,2018,40.7,49.8,1.8
0912,2019,40.8,49.8,2.3
0912,2020,41.9,49.4,2.4
0912,2021,41.4,49.3,2.4
0912,2022,40.8,49.4,2.4
0912,2023,40.7,49.2,2.3
0912,2024,40.8,49.2,2.4
091201,2015,36.6,51.2,2.9
091201,2016,36.0,51.0,2.9
091201,2017,35.7,51.9,2.9
091201,2018,35.8,51.5,2.8
091201,2019,35.8,51.9,3.9
091201,2020,37.0,51.0,3.9
091201,2021,36.3,50.9,3.9
091201,2022,35.7,50.6,3.8
091201,2023,36.1,50.7,3.8
091201,2024,36.0,50.5,3.7
091150,2015,40.2,45.3,0.0
091150,2016,40.0,45.5,0.0
091150,2017,39.3,46.8,0.0
091150,2018,39.1,47.6,0.0
091150,2019,38.6,49.5,0.0
091150,2020,39.3,47.1,0.0
091150,2021,38.5,47.3,0.0
091150,2022,37.4,48.2,0.0
091150,2023,37.7,48.2,0.0
091150,2024,38.0,46.1,0.0
091160,2015,,,
091160,2016,,,
091160,2017,,,
091160,2018,,,
091160,2019,,,
091160,2020,,,
091160,2021,,,
091160,2022,,,
091160,2023,,,
091160,2024,,,
091161,2015,45.3,44.4,0.0
091161,2016,43.0,43.2,0.0
091161,2017,43.0,45.5,0.0
091161,2018,43.7,44.2,0.0
091161,2019,43.8,45.6,0.0
091161,2020,47.1,45.1,0.0
091161,2021,45.7,45.0,0.0
091161,2022,45.9,45.1,0.0
091161,2023,44.5,44.5,0.0
091161,2024,43.1,47.5,0.0
091162,2015,27.2,61.3,8.0
091162,2016,26.7,61.0,7.9
091162,2017,26.8,61.1,7.9
091162,2018,26.7,60.6,7.9
091162,2019,26.9,59.0,10.9
091162,2020,27.4,58.5,11.0
091162,2021,27.2,58.3,11.0
091162,2022,26.9,57.5,10.9
091162,2023,27.2,58.5,10.9
091162,2024,26.9,58.8,10.9
091180,2015,42.7,46.6,0.0
091180,2016,42.5,47.5,0.0
091180,2017,41.8,48.0,0.0
091180,2018,42.0,46.3,0.0
091180,2019,42.2,47.7,0.0
091180,2020,43.6,48.9,0.0
091180,2021,42.6,47.9,0.0
091180,2022,42.1,45.6,0.0
091180,2023,44.8,44.6,0.0
091180,2024,45.3,44.6,0.0
091202,2015,48.3,39.4,0.0
091202,2016,48.1,40.2,0.0
091202,2017,48.2,40.9,0.0
091202,2018,48.2,41.2,0.0
091202,2019,49.0,40.7,0.0
091202,2020,50.4,41.5,0.0
091202,2021,49.7,41.4,0.0
091202,2022,49.3,41.5,0.0
091202,2023,48.7,41.0,0.0
091202,2024,49.1,41.3,0.0
091301,2015,45.6,40.3,0.0
091301,2016,45.3,42.0,0.0
091301,2017,45.4,43.2,0.0
091301,2018,45.3,43.5,0.0
091301,2019,46.3,42.9,0.0
091301,2020,48.5,42.2,0.0
091301,2021,49.7,39.8,0.0
091301,2022,49.4,39.6,0.0
091301,2023,49.6,39.5,0.0
091301,2024,50.2,38.8,0.0
091302,2015,73.1,7.4,0.0
091302,2016,72.3,7.4,0.0
091302,2017,71.7,7.0,0.0
091302,2018,74.7,5.8,0.0
091302,2019,76.2,5.0,0.0
091302,2020,74.5,7.2,0.0
091302,2021,74.5,6.7,0.0
091302,2022,76.3,7.0,0.0
091302,2023,79.1,6.6,0.0
091302,2024,80.8,6.2,0.0
091303,2015,59.7,20.0,0.0
091303,2016,60.0,21.1,0.0
091303,2017,60.8,22.0,0.0
091303,2018,61.9,25.1,0.0
091303,2019,61.1,25.4,0.0
091303,2020,63.3,26.2,0.0
091303,2021,63.6,26.6,0.0
091303,2022,62.9,27.8,0.0
091303,2023,59.1,28.9,0.0
091303,2024,60.4,29.5,0.0
091304,2015,55.8,33.3,0.0
091304,2016,55.8,33.4,0.0
091304,2017,55.9,33.5,0.0
091304,2018,55.4,33.1,0.0
091304,2019,56.2,32.7,0.0
091304,2020,58.8,34.5,0.0
091304,2021,57.6,34.5,0.0
091304,2022,56.4,35.0,0.0
091304,2023,56.6,35.4,0.0
091304,2024,57.3,34.8,0.0
091305,2015,36.8,57.4,0.0
091305,2016,36.4,56.6,0.0
091305,2017,36.1,56.3,0.0
091305,2018,37.2,57.1,0.0
091305,2019,37.7,56.9,0.0
091305,2020,32.8,61.0,0.0
091305,2021,27.0,67.9,0.0
091305,2022,27.1,67.9,0.0
091305,2023,24.8,60.1,0.0
091305,2024,24.6,68.4,0.0
091306,2015,26.3,70.7,0.0
